1,South of the Border,Pop,No.6 Collaborations Project,Ed Sheeran,Ed Sheeran#Cardi.B#Camilla Cabello
2,South of the Border,Pop,No.6 Collaborations Project,Ed Sheeran,Ed Sheeran#Cardi.B#Camilla Cabello
3,I Dont'Care,Pop,No.6 Collaborations Project,Ed Sheeran,Ed Sheeran#Justin Bieber
4,Remember The Name,Pop,No.6 Collaborations Project,Ed Sheeran,Ed Sheeran#Eminem#50Cent
5,Way To Break My Heart,Pop,No.6 Collaborations Project,Ed Sheeran,Ed Sheeran#Skrillex
6,Cross Me,Pop,No.6 Collaborations Project,Ed Sheeran,Ed Sheeran#Chance The Rapper#PnB Rock
7,Give Life Back To Music,Electronic Dance Music,Random Access Memories,Daft Punk,Daft Punk#Nile Rodgers
8,Instant Crush,Electronic Dance Music,Random Access Memories,Daft Punk,Daft Punk#Julian Casablancas
9,Get Lucky,Electronic Dance Music,Random Access Memories,Daft Punk,Daft Punk#Nile Rodgers#Pharrell Williams
10,Lose Yourself To Dance,Electronic Dance Music,Random Access Memories,Daft Punk,Daft Punk#Nile Rodgers#Pharrell William
11,Giorgio by Moroder,Electronic Dance Music,Random Access Memories,Daft Punk,Daft Punk#Giorgio Moroder
12,Something In the Way,Rock,Nevermind,Nirvana,Nirvana
13,Lithium,Rock,Nevermind,Nirvana,Nirvana
14,Come as You Are,Rock,Nevermind,Nirvana,Nirvana
15,Stay Away,Rock,Nevermind,Nirvana,Nirvana
16,Lounge Act,Rock,Nevermind,Nirvana,Nirvana
17,BLOOD.,Hip-Hop,DAMN.,Kendrick Lamar,Kendrick Lamar
18,GOD.,Hip-Hop,DAMN.,Kendrick Lamar,Kendrick Lamar
19,PRIDE.,Hip-Hop,DAMN.,Kendrick Lamar,Kendrick Lamar
20,YAH.,Hip-Hop,DAMN.,Kendrick Lamar,Kendrick Lamar
21,DUCKWORTH.,Hip-Hop,DAMN.,Kendrick Lamar,Kendrick Lamar
22,Flamenco Sketches,Jazz,Kind of Blue,Miles Davis,Miles Davis
23,So What,Jazz,Kind of Blue,Miles Davis,Miles Davis
24,Freddie Freeloader,Jazz,Kind of Blue,Miles Davis,Miles Davis
25,Blue in Green,Jazz,Kind of Blue,Miles Davis,Miles Davis
26,All Blues,Jazz,Kind of Blue,Miles Davis,Miles Davis
27,The Show Must Go on,Rock,Innuendo,Queen,Queen
28,Somebody To Love,Rock,A Day at the Races,Queen,Queen
29,Killer Queen,Rock,Sheer Heart Attack,Queen,Queen
30,Another One Bites the Dust,Rock,The Game,Queen,Queen
31,Bohemian Rhapsody,Rock,A Night at the Opera,Queen,Queen